4000140,Micro bit_Blue  PCBA v15,,,,,
,,,,,,
NO,Item,P/N,Usage,Location,Manufacturer,Description
1,Ceramic Capacitor,GRM1555C1HR80CA01D,1,C23,Murata,CAP CER 0.8pF  ±0.25pF 50V SMD0402
2,Ceramic Capacitor,0402N1R5C500CT,1,C22,MULTICOMP,CAP 1.5pf +/-0.25pf C0G/NP0 50V 0402 
3,Ceramic Capacitor,GRM155R60J105KE19D,2,"C31, C36",MURATA,CAP 1UF +/-10% X5R 6.3V SMD0402 
4,Ceramic Capacitor,0402B222J500CT,1,C24,MULTICOMP,CAP 2200pf(2.2nf) +/-5% X7R 50V 0402
5,Ceramic Capacitor,GRM1555C1H2R2CA01D,1,C21,MURATA,CAP CER 2.2PF 50V +/-0.25PF C0G 0402
6,Ceramic Capacitor,GRM155R60J225ME15D,1,C6,MURATA,CAP 2.2UF +/-20% X5R 6.3V SMD0402
7,Inductor,WLCM1005Z0S3N3TB,1,L1,Multicomp,IND 3.3nh +/-0.3nh 0402 RDC=0.16ohm IDC=300ma
8,Inductor,WLCM1005Z0S4N7TB,1,L2,Multicomp,IND 4.7nH +/-0.3nH 0402 RDC=0.2ohm IDC=300ma
9,Ceramic Capacitor,GRM155R60J475ME47D,3,"C18, C34, C35",MURATA,CAP 4.7UF +/-20% X5R 6.3V SMD0402 fix PN add D
10,Thick film Resistor,WR04X4701FTL,2,"R21, R32",Multicomp,RES 4.7KOHM 1% 0402 1/16W 50V 100ppm
11,Thick film Resistor,WR04X1002FTL,5,"R11, R12, R22, R23, R28",Multicomp,RES 10K +/-1% 1/16W SMD0402 50V 100PPM 
12,Inductor,WLCM1005Z0J10NTB,1,L3,Multicomp,IND 10nH +/-5% 0402 RDC=0.31ohm IDC=300ma
13,Ceramic Capacitor,0402N120J500CT,2,"C25, C26",MULTICOMP,CAP 12PF +/-5% C0G/NP0 50V 0402 REEL
14,Crystal,X16M000000S207,2,"Q1, Q2",AEL,Crystal 16Mhz 8pf 20ppm ESR=60ohm 2.5*2*0.5 SMD-4pad
15,Thick film Resistor,WR04W1005FTL,3,"R24, R25, R26",Multicomp,RES 10MOHM 1% 0402 1/16W 50V 100ppm
16,Ceramic Capacitor,GRM1555C1H6R8CA01D,2,"C7, C8",MURATA,CAP CER 6.8PF 50V +/-0.25PF C0G 0402
17,Thick film Resistor,WR04X33R0FTL,2,"R15, R16",Multicomp,RES 33OHM 1% 0402 1/16W 50V 100ppm alt code 
18,Ceramic Capacitor,CC0402KRX7R9BB473,1,C28,Yageo,CAP 47NF +/-10% X7R/NP0 50V 0402 REEL
19,Ceramic Capacitor,0402X104K100CT,11,"C1, C4, C5, C19, C20, C27, C30, C32, C33, C37, C38",MULTICOMP,CAP 100nf +/-10% X5R 10V 0402 REEL
20,Thick film Resistor,WR04X2200FTL,10,"R1, R2, R3, R4, R5, R6, R7, R8, R9, R14",Multicomp,RES 220ohm 1% 0402 1/16W 50V 100ppm
21,Diode,BAT60AE6327HTSA1,2,"D1, D2",INFINEON,Diode Schottky Diode BAT60A E6327 10V 3A SOD-323 SMD old MPN:BAT60AE6327
22,MCU,MKL26Z128VFM4R,1,IC1,NXP,IC MCU CORTEX M0+ 128K FLAS 32-bit Kinetis 48MHZ  32-Pin QFN
23,LED,19-217/R6C-AL1M2VY/3T,25,LED1-LED25,EVERLIGHT,LED Brilliant Red Water Clear If=25mA SMD0603 617.5~633.5nm Vf=1.7~2.2v -40~85 SMD
26,MCU,NRF51822-QFAA-R,1,IC4,NORDIC,IC Bluetooth Smart and 2.4GHz proprietary multiprotocol Soc NRF51822-QFAA-R 48-VFQFN Exposed Pad SMD -40~105 TR;OPN:nRf51822-QFAA-R_REV3
27,LED,19-217/Y5C-AM1N1VY/3T,1,LED26,EVERLIGHT,LED Brilliant Yellow Water Clear 20mA SMD0603 585~595nm
28,Tactile Switch,DTSJ-61K-V-T/R,3,"SW1, SW2, SW3",Diptronics,Switch  Tactile  6x6x4 3 SMT-J 2 6N AG black STRAIGHT
29,USB Connector,MCR-B-S-RA-SMT-CS5-T/R,1,J1,ADAM,Connector Micro USB B part 5 pos Right angle black SMD
30,PCB,Micro Bit_Blue PCB Rev1.5,1,PCB1,AVL,2 layers PCB Black+Blue Soldermask white Silkscreen ENIG 42x52mm 6UP(2x3) Micro Bit_Blue PCB Rev1.5
31,Connector,WB200SW-02SR01,1,CON1,MTCONN,Connector WTB Series Right Angle Male 1x2Pin 2.0MM pitch Tin Plated white SMD
32,Label,"HI-TEMP LABEL,50 # glossy ,7x7mm,blank,Row=1,core size:3 inch",1,SN Label,Fesem,HI-TEMP LABEL 50 # glossy  7x7mm blank Row=1 core size:3 inch
33,Anti-static bag,"ANTI-STATIC BAG,120*80mm",1,,Yijie,ANTI-STATIC BAG 120*80mm
34,Thick film Resistor,RC0402FR-076K2L,1,R10,YAGEO,RES 6.2K 1% 1/16W 100ppm 50V 0402 TR
35,Diode,"PRTR5V0U2F,115",1,D3,NXP,DIODE ESD PROT R-R 5.5V SOT-886
36,Thick film Resistor,RC0402FR-070RL,2,"R19, R30",YAGEO,RES 0R +/-1% 1/16W SMD0402
37,Sensor,LSM303AGRTR,1,U2,ST,IMU ACCEL/MAG I2C/SPI 12LGA
38,Thick film Resistor,ESR01MZPJ100,2,"R29, R31",ROHM ,RES 10 OHM 5% 1/5W SMD0402